grid_id,road_length
25_35,2472.564631133367
25_36,2158.978594609987
25_37,1852.7331927492114
25_38,2511.8465242004927
25_39,1518.6267016580684
25_40,2838.671638223669
25_41,2832.514727012891
25_42,3051.46403118639
25_43,1440.189466850411
25_44,1922.199411221394
25_45,3632.665873152161
25_46,4664.113446923945
25_47,4110.757969686146
25_48,3698.3308406869437
25_49,3653.9163552507225
25_50,3424.3087453048684
25_51,2462.9629862025545
25_52,2428.5783340782846
25_53,3997.321114267176
25_54,3333.5019536492814
25_55,1521.5220155303425
25_56,1618.7008665890787
25_57,1533.5902212872832
25_58,1643.0923960513246
25_59,970.2466290813143
25_60,4050.379532199992
25_61,4869.628530887808
25_62,3652.625905607474
26_8,45.09988998051632
26_9,3429.049950336084
26_10,4490.716624163144
26_11,2966.461649397789
26_12,3377.6264064407865
26_13,3844.5496086090666
26_14,372.50686714142535
26_18,2971.1789473539193
26_19,3454.1524160375666
26_20,2850.609546155328
26_21,3557.2577238103936
26_22,2411.631022298945
26_23,3567.333482465926
26_24,3043.4489670608864
26_25,4590.454933933274
26_26,3904.642710951095
26_27,2724.647439749015
26_28,273.78428184293847
26_29,3437.7897448303975
26_30,4827.265304203383
26_31,3716.9984260089905
26_32,3187.7210065374584
26_33,2460.8741416724565
26_34,4346.4072878859815
26_35,3768.1463187264026
26_36,2691.180895540119
26_37,3115.835999590434
26_38,5080.484510753811
26_39,3120.269550684697
26_40,4056.2954586703545
26_41,3505.926218275438
26_42,3971.881335831095
26_43,3990.628589007354
26_44,2375.0570825205973
26_45,3433.341966220588
