grid_id,connectivity
18_55,2.1666666666666665
18_56,1.5833333333333333
18_57,1.6857142857142857
18_58,1.7
18_59,1.6428571428571428
18_60,3.0
19_20,2.25
19_21,1.4761904761904763
19_22,1.6666666666666667
19_23,1.4838709677419355
19_24,1.7142857142857142
19_25,1.5833333333333333
19_26,1.5555555555555556
19_27,1.4838709677419355
19_28,1.32
19_29,1.4166666666666667
19_30,3.2
19_31,1.5
19_32,1.3529411764705883
19_33,1.2857142857142858
19_34,1.4666666666666666
19_35,1.3793103448275863
19_36,1.5897435897435896
19_37,1.6666666666666667
19_38,1.5
19_39,1.7222222222222223
19_40,1.6176470588235294
19_41,1.6818181818181819
19_42,1.6875
19_43,1.469387755102041
19_44,1.8235294117647058
19_45,1.7391304347826086
19_46,1.875
19_47,1.8636363636363635
19_48,2.0869565217391304
19_49,1.6774193548387097
19_50,1.6666666666666667
19_51,1.3
19_52,1.3888888888888888
19_53,1.9166666666666667
19_54,2.2857142857142856
19_55,1.7692307692307692
19_56,1.434782608695652
19_57,1.6111111111111112
19_58,1.6206896551724137
19_59,1.4634146341463414
19_60,1.5151515151515151
19_61,2.75
1_52,1.8
1_53,1.28125
1_57,1.7777777777777777
20_21,1.6818181818181819
20_22,1.4285714285714286
20_23,1.3170731707317074
20_24,1.4782608695652173
20_25,1.6
20_26,1.3928571428571428
20_27,1.8333333333333333
20_28,1.2727272727272727
20_29,1.7692307692307692
20_30,1.6956521739130435
20_31,1.36
20_32,1.5238095238095237
20_33,1.3333333333333333
20_34,1.3125
20_35,1.5625
20_36,1.7307692307692308
20_37,1.46
20_38,1.4615384615384615
20_39,1.7142857142857142
20_40,1.3488372093023255
20_41,1.7
20_42,1.7241379310344827
20_43,1.3934426229508197
20_44,1.6923076923076923
20_45,1.5
20_46,1.5526315789473684
20_47,1.696969696969697
20_48,1.6428571428571428
20_49,1.6
20_50,1.7
20_51,1.75
20_52,1.7096774193548387
20_53,1.6764705882352942
20_54,1.5
20_55,2.3333333333333335
20_56,1.56
20_57,1.5454545454545454
20_58,1.4285714285714286
20_59,1.5945945945945945
20_60,1.4523809523809523
20_61,1.7
21_21,1.4705882352941178
21_22,1.4423076923076923
21_23,1.7209302325581395
21_24,1.380952380952381
21_25,1.5357142857142858
21_26,1.5625
21_27,1.7037037037037037
21_28,1.6666666666666667
21_29,1.35
21_30,1.5
21_31,1.4705882352941178
21_32,1.8
21_33,1.75
21_34,1.8421052631578947
21_35,1.4583333333333333
21_36,1.6521739130434783
21_37,1.4482758620689655
21_38,1.3333333333333333
21_39,1.5294117647058822
21_40,1.509090909090909
21_41,1.7826086956521738
21_42,1.6842105263157894
21_43,1.8
21_44,1.393939393939394
21_45,1.48
21_46,1.5517241379310345
21_47,1.6
21_48,1.8666666666666667
21_49,2.272727272727273
21_50,1.8235294117647058
21_51,1.8333333333333333
21_52,1.4848484848484849
21_53,1.8
21_54,1.35
21_55,1.6521739130434783
21_56,1.7692307692307692
21_57,1.2162162162162162
21_58,1.4285714285714286
21_59,1.4375
21_60,1.302325581395349
21_61,1.4166666666666667
22_21,1.5
22_22,1.5588235294117647
22_23,1.5263157894736843
22_24,1.5263157894736843
22_25,1.8
22_26,2.4
22_27,1.4285714285714286
22_28,1.4057971014492754
22_29,1.5757575757575757
22_30,1.3783783783783783
22_31,1.34375
22_32,1.4615384615384615
22_33,1.3
22_34,1.1875
22_35,1.7777777777777777
22_36,1.8181818181818181
22_37,1.5128205128205128
22_38,1.5
22_39,1.6
22_40,1.4615384615384615
22_41,1.375
22_42,1.4883720930232558
22_43,1.4651162790697674
22_44,1.4146341463414633
22_45,1.2777777777777777
22_46,2.75
22_47,1.608695652173913
22_48,1.5789473684210527
22_49,1.5238095238095237
22_50,1.5555555555555556
22_51,1.5185185185185186
22_52,1.8
22_53,1.6458333333333333
22_54,1.4782608695652173
22_55,1.5263157894736843
22_56,2.1666666666666665
22_57,1.4736842105263157
22_58,1.44
22_59,1.65625
22_60,1.3255813953488371
22_61,4.5
23_12,1.28
23_13,2.3333333333333335
23_22,1.6071428571428572
23_23,1.5833333333333333
23_24,1.3846153846153846
23_25,1.8333333333333333
23_26,1.6
23_27,1.6470588235294117
23_28,1.5588235294117647
23_29,1.6551724137931034
23_30,1.4130434782608696
23_31,1.4
23_32,1.4864864864864864
23_33,1.4827586206896552
23_34,2.0
23_35,1.3333333333333333
23_37,1.2708333333333333
23_38,1.5
23_39,2.0
23_40,1.65
23_41,1.6341463414634145
23_42,1.4210526315789473
23_43,1.4761904761904763
23_44,1.5151515151515151
23_45,1.8181818181818181
23_46,1.6666666666666667
23_47,1.380952380952381
23_48,1.6774193548387097
23_49,1.5208333333333333
23_50,1.3214285714285714
23_51,1.435897435897436
23_52,1.5384615384615385
23_53,1.4761904761904763
23_54,1.3421052631578947
23_55,1.5
23_56,1.5714285714285714
23_57,1.4242424242424243
23_58,1.5
23_59,1.7333333333333334
23_60,2.0
24_12,1.3488372093023255
24_13,1.4074074074074074
24_19,3.5
24_22,1.9230769230769231
24_23,1.588235294117647
24_24,1.2857142857142858
24_25,1.35
24_26,1.68
24_27,1.4523809523809523
24_28,1.4473684210526316
24_29,1.5
24_30,1.3333333333333333
24_31,1.46875
24_32,1.4583333333333333
