grid_id,Arable land,"Artificial, non-agricultural vegetated areas",Forests,Heterogeneous agricultural areas,"Industrial, commercial and transport units",Inland waters,"Mine, dump and construction sites",Pastures,Scrub and/or herbaceous vegetation associations,Urban fabric
12_53,0.0,0.0,0.0,0.0,26.652143167196193,0.0,0.0,0.0,0.0,73.3478568328038
12_54,0.0,0.0,0.0,0.0,20.710268123273252,0.0,0.0,0.0,0.0,79.28973187672675
12_55,0.0,0.0,0.0,0.0,0.1390959120738966,0.0,0.0,0.0,0.0,99.86090408792609
12_56,0.0,0.0,0.0,0.0,52.12656355015164,0.0,0.0,0.0,0.0,47.87343644984836
12_57,0.0,0.0,0.0,0.0,8.041737205538833,0.0,0.0,0.0,0.0,91.95826279446115
12_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4616802625633327,0.0,97.53831973743668
12_62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_64,25.131675885951022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86832411404897
12_65,43.69366031932796,0.0,0.0,0.0,27.75868855403442,0.0,0.0,28.547651126637618,0.0,0.0
13_20,96.35165555250059,0.0,0.0,0.0,0.0,0.0,0.0,3.6483444474994027,0.0,0.0
13_21,62.954292396989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.045707603010996
13_22,2.787368939959612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2126310600404
13_23,1.5679996702160834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4320003297839
13_24,0.0,0.0,0.0,0.0,14.830012956770558,0.0,0.0,0.0,0.0,85.16998704322944
13_25,0.0,0.0,0.0,0.0,71.29193157316047,0.0,0.0,0.0,0.0,28.708068426839517
13_26,0.0,0.0,0.0,0.0,0.3034425215613837,0.0,0.0,0.0,0.0,99.69655747843862
13_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13_28,0.0,0.0,0.0,0.0,2.600174161482589,0.0,0.0,0.0,0.0,97.3998258385174
13_29,0.0,4.953494081206304,0.0,0.0,69.63369552759995,0.0,0.0,0.0,0.0,25.412810391193723
13_30,0.0,6.823159781977865,0.0,0.0,93.17684021802215,0.0,0.0,0.0,0.0,0.0
13_31,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
13_32,0.0,0.0,0.0,0.0,81.16028930021528,0.0,0.0,0.0,0.0,18.83971069978472
13_33,0.0,0.0,0.0,0.0,6.077683110955636,0.0,0.0,0.0,0.0,93.92231688904437
13_34,0.0,3.3804304764137365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61956952358626
13_35,0.0,6.760320848605161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.23967915139484
13_36,0.0,41.97617857118136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.02382142881866
13_37,0.0,19.191233512051443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.80876648794855
13_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
