OA11CD,LSOA11CD
E00047786,E01009454
E00045873,E01009034
E00045812,E01009029
E00045893,E01009036
E00046146,E01009096
E00047325,E01009339
E00047754,E01009424
E00046769,E01009229
E00047983,E01009479
E00047902,E01009471
E00047871,E01009445
E00047084,E01009281
E00047345,E01009344
E00047005,E01009264
E00047974,E01009464
E00045453,E01008962
E00046708,E01009215
E00047869,E01009445
E00175676,E01033624
E00047580,E01009383
E00175707,E01033619
E00046010,E01009073
E00046039,E01009065
E00047501,E01009372
E00047913,E01009466
E00047946,E01009458
E00047463,E01009364
E00047509,E01009371
E00047620,E01009410
E00046984,E01009275
E00046905,E01009250
E00045086,E01008890
E00047226,E01009316
E00045173,E01033636
E00047285,E01009315
E00046091,E01009079
E00046103,E01009086
E00046471,E01009168
E00046182,E01009103
E00045944,E01009047
E00047370,E01033642
E00045977,E01009072
E00175667,E01033626
E00045811,E01009017
E00045890,E01009040
E00045388,E01008935
E00045309,E01008924
E00046257,E01009110
E00046451,E01009159
E00048048,E01009476
E00046108,E01009085
E00047525,E01033643
E00046232,E01009120
E00046189,E01009118
E00047521,E01009397
E00046612,E01009204
E00046693,E01009210
E00046251,E01009109
E00047145,E01009308
E00047266,E01009323
E00047074,E01009290
E00046479,E01009163
E00045497,E01008956
E00047248,E01009323
E00045800,E01009028
E00045188,E01008913
E00175778,E01033623
E00175738,E01009121
E00046607,E01009201
E00046686,E01009211
E00046334,E01009133
E00046325,E01009129
E00047653,E01009401
E00047492,E01009367
E00047413,E01009350
E00046637,E01033644
E00046478,E01009166
E00045202,E01008913
E00045283,E01008931
E00045703,E01009012
E00048054,E01009475
E00047372,E01009360
E00046057,E01009085
E00047016,E01009263
E00175803,E01009109
E00175791,E01009358
E00045803,E01033641
E00175609,E01009100
E00045882,E01009035
E00047124,E01009286
E00175622,E01033615
E00045828,E01009040
E00175722,E01033559
E00047097,E01009282
E00045526,E01008968
E00046557,E01009182
E00045782,E01009023
E00045672,E01009009
E00046274,E01009137
E00045825,E01009041
E00048112,E01009504
E00048193,E01009510
E00047424,E01009355
E00047240,E01009320
E00045671,E01008998
E00175716,E01033557
E00046909,E01009254
E00045302,E01033629
E00045383,E01008933
E00047268,E01009314
E00046320,E01009131
E00047855,E01009439
E00047681,E01009417
E00047600,E01009403
E00047700,E01009420
E00047781,E01009441
E00045577,E01008976
E00046589,E01009188
E00047515,E01009376
E00046988,E01009276
E00045389,E01008936
E00175678,E01033557
E00046508,E01009160
E00045308,E01033629
E00047107,E01009283
E00047594,E01009391
E00047186,E01009308
E00045637,E01008997
E00047774,E01009415
E00047379,E01009361
E00046008,E01009074
E00046089,E01009083
E00047484,E01009368
E00046553,E01033645
E00047405,E01009349
E00045466,E01008965
E00045120,E01008882
E00175674,E01009378
E00047833,E01009436
E00046503,E01009162
E00046582,E01009187
E00045465,E01008965
E00045796,E01009026
E00045717,E01009001
E00045371,E01008948
E00047929,E01009474
E00047838,E01009439
E00045397,E01008938
E00047636,E01009411
E00047129,E01009288
E00047185,E01009304
E00046271,E01009122
E00047015,E01009269
E00047094,E01009294
E00046961,E01009255
E00046460,E01009169
E00045913,E01009053
E00045992,E01009075
E00047562,E01009396
E00045638,E01008995
E00047954,E01009460
E00046266,E01009125
E00047644,E01009401
E00045143,E01008885
E00046150,E01009098
E00047705,E01009422
E00047784,E01009450
E00046076,E01009079
E00045588,E01008996
E00046932,E01009254
E00047363,E01009327
E00045843,E01009045
E00047969,E01009463
E00046275,E01009137
E00047324,E01009338
E00045869,E01009031
E00046942,E01009256
E00045868,E01009031
E00045587,E01033631
E00048041,E01009492
E00045409,E01008940
E00045488,E01008955
E00045724,E01009003
E00047038,E01009271
E00047432,E01009355
E00047397,E01009345
E00047275,E01009313
E00048038,E01009488
E00045676,E01009009
E00045463,E01008963
E00175684,E01033565
E00045838,E01009042
E00048081,E01009496
E00046754,E01009210
E00046340,E01009122
E00045509,E01008978
E00047198,E01009307
E00045506,E01008967
E00047119,E01009292
E00047415,E01009353
E00047494,E01009367
E00046220,E01009115
E00045247,E01008906
E00045518,E01008980
E00045599,E01008986
E00046488,E01009163
E00046409,E01033640
E00047122,E01009289
E00045542,E01008971
E00045142,E01008887
E00048116,E01009504
E00048197,E01009508
E00045373,E01008949
E00045948,E01009047
E00046286,E01009121
E00047065,E01009296
E00045129,E01008884
E00046333,E01009132
E00046659,E01009200
E00047470,E01009363
E00047331,E01009340
E00047877,E01009445
E00047622,E01033646
E00045313,E01008924
E00047027,E01009268
E00046720,E01009216
E00047808,E01009453
E00047453,E01009368
E00047967,E01009460
E00047567,E01033643
E00047870,E01009446
E00047150,E01009300
E00045679,E01009008
E00045799,E01009026
E00045718,E01009002
E00046030,E01009077
E00045912,E01033621
E00046491,E01009172
E00175794,E01008914
E00045997,E01009072
E00045916,E01033621
E00047570,E01033643
E00046376,E01009139
E00046402,E01009147
E00046483,E01009164
E00047727,E01009429
E00046707,E01009214
E00046786,E01009232
E00045236,E01008901
E00048053,E01009475
E00045589,E01008997
E00045508,E01008979
E00046450,E01009165
E00048046,E01009490
E00046516,E01033633
E00046597,E01009189
E00045537,E01008968
E00047040,E01009268
E00045815,E01009015
E00045894,E01009037
E00047894,E01009466
E00045919,E01033621
E00045998,E01009074
E00047815,E01009453
E00045340,E01008940
E00046254,E01009110
E00046561,E01009183
E00047906,E01009469
E00047316,E01009338
E00047956,E01009460
E00046040,E01009066
E00048095,E01009500
E00175635,E01009309
E00048014,E01009485
E00047242,E01009320
E00046773,E01009231
E00047290,E01009332
E00047211,E01009306
E00048012,E01009484
